10,379.48028947678125,509.26648235750594,432.5659048625841
12.589254117941675,432.67738050716287,549.8932986556376,481.78152811489736
15.848931924611133,491.46104931253046,593.7611258188108,536.5099060894756
19.952623149688797,556.37205386588,641.1285160148901,597.3683890830085
25.118864315095795,628.031374903263,692.2746474529016,665.0434770037691
31.622776601683793,707.1486861232593,747.5009698288147,740.2985632340695
39.810717055349734,794.5307396108279,807.1329810370289,823.9825458831104
50.11872336272725,891.0904034933071,871.5221456193061,917.0394035657038
63.09573444801933,997.8563695823004,941.04796625828,1020.5188437228471
79.43282347242814,1115.9838990006772,1016.1202205246952,1135.5881435989875
100,1246.7667448337277,1097.181376061521,1263.5453174445668
125.89254117941675,1391.6508770571047,1184.7091984397687,1405.8337584728351
158.48931924611142,1552.2492286250208,1279.2195670564322,1564.0585207357194
199.52623149688787,1730.3589477355242,1381.269515671141,1740.0044245824186
251.18864315095823,1927.9804661457513,1491.4605155021238,1935.6561899350456
316.22776601683796,2147.3389828146983,1610.442020231675,2153.2208244900357
398.1071705534973,2390.9085708649295,1738.9152938150216,2395.152519390392
501.18723362727246,2661.4391962219543,1877.6375436532521,2664.1803331987826
630.957344480193,2961.9869632045766,2027.4263834907917,2963.33897645445
794.3282347242822,3295.9479288480134,2189.164652341252,3296.0030440723954
1000,3667.095873335662,2363.8056178438583,3665.9250817359134
1258.9254117941675,4079.624436435342,2552.3785947185047,4077.2779156822335
1584.893192461114,4538.194090679729,2755.995011433945,4534.701723373155
1995.262314968881,5047.98446866279,2975.8549608454464,5043.35637602136
2511.886431509582,5614.752621087681,3213.254273410612,5608.979643410865
3162.2776601683795,6244.89784865501,3469.592154672149,6237.951917578684
3981.0717055349733,6945.533828124684,3746.379432022068,6937.368185459218
5011.872336272725,7724.568828906171,4045.2474593528214,7715.118062363361
6309.573444801937,8590.794932474457,4367.957732078448,8579.974789092836
7943.282347242822,9553.987224431052,4716.412269195582,9541.694196602517
10000,10625.014098681555,5092.664823575058,10611.124754560562
