Time	Pop size	Mean_death_rate	Mean_birth_rate
0.000147	5001	0.200000	0.749950
1.000004	7973	0.200136	0.601350
2.000046	10971	0.200237	0.451450
3.000382	13112	0.200310	0.344400
4.000515	14519	0.200371	0.274050
5.000033	15269	0.200422	0.236550
6.000523	15680	0.200467	0.216000
7.000111	15842	0.200513	0.207900
8.000019	15877	0.200549	0.206150
9.000083	15985	0.200590	0.200750
10.000051	15954	0.200626	0.202300
11.000065	15935	0.200671	0.203250
12.000094	15955	0.200713	0.202250
13.000584	16011	0.200747	0.199450
14.000053	15963	0.200790	0.201850
15.000180	15941	0.200829	0.202950
16.000413	16041	0.200872	0.197950
17.000034	16002	0.200909	0.199900
18.000055	15999	0.200945	0.200050
19.000069	16006	0.200981	0.199700
20.000017	15930	0.201016	0.203500
21.000062	15965	0.201052	0.201750
22.000120	16028	0.201090	0.198600
23.000088	16104	0.201129	0.194800
24.000213	16041	0.201169	0.197950
25.000075	16081	0.201208	0.195950
26.000058	16045	0.201247	0.197750
27.000026	16021	0.201292	0.198950
28.000012	16017	0.201334	0.199150
29.000132	15959	0.201374	0.202050
30.000040	15898	0.201412	0.205100
31.000014	15931	0.201452	0.203450
32.000005	15987	0.201489	0.200650
33.000158	16030	0.201526	0.198500
34.000040	16048	0.201569	0.197600
35.000321	16069	0.201616	0.196550
36.000195	15992	0.201645	0.200400
37.000013	16045	0.201690	0.197750
38.000134	16110	0.201721	0.194500
39.000131	16036	0.201751	0.198200
40.000382	15955	0.201790	0.202250
41.000013	15974	0.201838	0.201300
42.000267	15958	0.201873	0.202100
43.000061	16026	0.201914	0.198700
44.000025	15858	0.201956	0.207100
45.000116	15835	0.201993	0.208250
46.000153	15850	0.202043	0.207500
47.000050	15912	0.202076	0.204400
48.000413	15895	0.202118	0.205250
49.000139	15974	0.202156	0.201300
50.000144	16006	0.202204	0.199700
51.000124	16009	0.202245	0.199550
52.000139	15921	0.202285	0.203950
53.000443	15904	0.202314	0.204800
54.000231	15927	0.202349	0.203650
55.000089	15936	0.202395	0.203200
56.000243	15994	0.202433	0.200300
57.000183	15888	0.202482	0.205600
58.000193	15902	0.202523	0.204900
59.000012	15876	0.202559	0.206200
60.000177	15953	0.202592	0.202350
61.000431	15862	0.202633	0.206900
62.000064	15984	0.202671	0.200800
63.000056	15909	0.202707	0.204550
64.000076	15870	0.202749	0.206500
65.000189	15831	0.202791	0.208450
66.000162	15962	0.202829	0.201900
67.000300	15896	0.202868	0.205200
68.000082	15939	0.202909	0.203050
69.000014	16042	0.202933	0.197900
70.000051	15906	0.202996	0.204700
71.000125	15966	0.203030	0.201700
72.000213	15872	0.203072	0.206400
73.000183	15922	0.203110	0.203900
74.000041	15930	0.203146	0.203500
75.000012	15987	0.203182	0.200650
76.000139	15950	0.203225	0.202500
77.000407	15835	0.203263	0.208250
78.000029	15937	0.203291	0.203150
79.000030	15851	0.203327	0.207450
80.000427	15855	0.203372	0.207250
81.000102	15892	0.203405	0.205400
82.000138	15962	0.203438	0.201900
83.000123	16033	0.203479	0.198350
84.000072	16006	0.203525	0.199700
85.000114	15959	0.203554	0.202050
86.000392	15964	0.203603	0.201800
87.000001	15993	0.203625	0.200350
88.000055	15998	0.203667	0.200100
89.000119	15969	0.203706	0.201550
90.000050	15982	0.203742	0.200900
91.000033	15925	0.203784	0.203750
92.000241	15943	0.203838	0.202850
93.000041	15857	0.203884	0.207150
94.000820	15852	0.203939	0.207400
95.000005	15883	0.203974	0.205850
96.000149	15909	0.204018	0.204550
97.000028	15937	0.204054	0.203150
98.000285	15952	0.204104	0.202400
99.000050	15978	0.204132	0.201100
100.000108	16012	0.204175	0.199400
101.000154	16079	0.204208	0.196050
102.000075	16054	0.204251	0.197300
103.000390	16036	0.204312	0.198200
104.000278	15958	0.204341	0.202100
105.000127	15917	0.204376	0.204150
106.000419	15782	0.204422	0.210900
107.000037	15833	0.204461	0.208350
108.000009	15837	0.204489	0.208150
109.000155	15909	0.204520	0.204550
110.000107	15948	0.204560	0.202600
111.000312	15924	0.204597	0.203800
112.000036	15860	0.204637	0.207000
113.000174	15894	0.204671	0.205300
114.000248	15917	0.204715	0.204150
115.000067	15863	0.204754	0.206850
116.000094	15883	0.204787	0.205850
117.000096	15864	0.204838	0.206800
118.000167	15742	0.204867	0.212900
119.000011	15833	0.204911	0.208350
120.000373	15725	0.204969	0.213750
121.000086	15846	0.204990	0.207700
122.000219	15867	0.205020	0.206650
123.000233	15850	0.205056	0.207500
124.000154	15828	0.205094	0.208600
125.000109	15843	0.205137	0.207850
126.000105	15879	0.205183	0.206050
127.000222	15903	0.205230	0.204850
128.000011	15861	0.205270	0.206950
129.000177	15867	0.205313	0.206650
130.000674	15791	0.205331	0.210450
131.000007	15792	0.205369	0.210400
132.000062	15880	0.205410	0.206000
133.000062	15871	0.205461	0.206450
134.000192	15935	0.205507	0.203250
135.000030	15943	0.205529	0.202850
136.000048	15832	0.205570	0.208400
137.000122	15896	0.205636	0.205200
138.000326	15960	0.205673	0.202000
139.000201	15878	0.205710	0.206100
140.000188	15930	0.205748	0.203500
141.000123	16050	0.205784	0.197500
142.000126	15860	0.205838	0.207000
143.000303	15799	0.205902	0.210050
144.000035	15802	0.205959	0.209900
145.000039	15813	0.205991	0.209350
146.000342	15869	0.206031	0.206550
147.000049	15891	0.206095	0.205450
148.000074	15872	0.206139	0.206400
149.000185	15876	0.206172	0.206200
150.000893	15874	0.206222	0.206300
151.000085	15801	0.206259	0.209950
152.000106	15878	0.206316	0.206100
153.000046	15966	0.206371	0.201700
154.000206	15912	0.206400	0.204400
155.000220	15936	0.206457	0.203200
156.000255	15924	0.206495	0.203800
157.000044	15948	0.206543	0.202600
158.000097	15861	0.206601	0.206950
159.000516	15871	0.206636	0.206450
160.000139	15903	0.206662	0.204850
161.000260	15935	0.206705	0.203250
162.000095	15828	0.206741	0.208600
163.000075	15677	0.206785	0.216150
164.000034	15740	0.206821	0.213000
165.000016	15801	0.206870	0.209950
166.000063	15866	0.206898	0.206700
167.000203	15886	0.206955	0.205700
168.000007	15819	0.206997	0.209050
169.000150	15783	0.207034	0.210850
170.000112	15830	0.207099	0.208500
171.000035	15847	0.207145	0.207650
172.000060	15740	0.207189	0.213000
173.000159	15703	0.207237	0.214850
174.000046	15831	0.207283	0.208450
175.000097	15843	0.207308	0.207850
176.000070	15905	0.207336	0.204750
177.000434	15964	0.207381	0.201800
178.000111	15867	0.207394	0.206650
179.000195	15790	0.207458	0.210500
180.000182	15808	0.207491	0.209600
181.000181	15892	0.207528	0.205400
182.000000	15743	0.207574	0.212850
183.000023	15828	0.207597	0.208600
184.000231	15820	0.207655	0.209000
185.000136	15856	0.207677	0.207200
186.000077	15849	0.207710	0.207550
187.000087	15856	0.207782	0.207200
188.000276	15916	0.207825	0.204200
189.000004	15836	0.207847	0.208200
190.000210	15767	0.207873	0.211650
191.000020	15793	0.207909	0.210350
192.000072	15869	0.207948	0.206550
193.000102	15868	0.207986	0.206600
194.000057	15843	0.208048	0.207850
195.000022	15787	0.208099	0.210650
196.000093	15810	0.208135	0.209500
197.000533	15795	0.208167	0.210250
198.000288	15810	0.208189	0.209500
199.000158	15797	0.208246	0.210150
200.000267	15889	0.208246	0.205550
201.000158	15828	0.208271	0.208600
202.000008	15807	0.208336	0.209650
203.000220	15851	0.208392	0.207450
204.000034	15882	0.208459	0.205900
205.000153	15856	0.208502	0.207200
206.000265	15814	0.208543	0.209300
207.000036	15823	0.208548	0.208850
208.000067	15793	0.208559	0.210350
209.000363	15815	0.208605	0.209250
210.000063	15783	0.208627	0.210850
211.000096	15779	0.208686	0.211050
212.000016	15826	0.208729	0.208700
