Time	Pop size	Mean_death_rate	Mean_birth_rate
0.000147	5001	0.200000	0.749950
1.000004	7973	0.200136	0.601350
2.000046	10971	0.200237	0.451450
3.000381	13112	0.200311	0.344400
4.000513	14519	0.200371	0.274050
5.000029	15269	0.200423	0.236550
6.000517	15680	0.200469	0.216000
7.000102	15842	0.200514	0.207900
8.000007	15877	0.200551	0.206150
9.000068	15985	0.200590	0.200750
10.000035	15954	0.200626	0.202300
11.000049	15935	0.200670	0.203250
12.000082	15955	0.200709	0.202250
13.000582	16011	0.200744	0.199450
14.000059	15963	0.200784	0.201850
15.000202	15941	0.200821	0.202950
16.000020	16042	0.200858	0.197900
17.000119	16002	0.200889	0.199900
18.000197	15999	0.200917	0.200050
19.000035	16007	0.200954	0.199650
20.000195	15932	0.200989	0.203400
21.000015	15964	0.201019	0.201800
22.000130	16029	0.201060	0.198550
23.000108	16102	0.201092	0.194900
24.000044	16039	0.201131	0.198050
25.000563	16124	0.201165	0.193800
26.000151	16073	0.201201	0.196350
27.000057	16023	0.201240	0.198850
28.000170	16054	0.201277	0.197300
29.000049	15977	0.201303	0.201150
30.000401	15898	0.201345	0.205100
31.000180	15951	0.201387	0.202450
32.000978	15964	0.201425	0.201800
33.000013	16007	0.201477	0.199650
34.000088	16030	0.201505	0.198500
35.000027	16106	0.201547	0.194700
36.000437	15999	0.201576	0.200050
37.000096	16034	0.201622	0.198300
38.000299	16104	0.201660	0.194800
39.000051	16059	0.201692	0.197050
40.000010	15971	0.201738	0.201450
41.000507	15967	0.201770	0.201650
42.000215	15961	0.201812	0.201950
43.000288	16034	0.201855	0.198300
44.000563	15875	0.201892	0.206250
45.000638	15805	0.201941	0.209750
46.000071	15867	0.201987	0.206650
47.000056	15916	0.202029	0.204200
48.000069	15874	0.202072	0.206300
49.000002	15969	0.202115	0.201550
50.000187	16024	0.202156	0.198800
51.000221	16028	0.202195	0.198600
52.000210	15918	0.202237	0.204100
53.000058	15932	0.202268	0.203400
54.000455	15924	0.202303	0.203800
55.000065	15938	0.202345	0.203100
56.000153	15988	0.202391	0.200600
57.000117	15865	0.202423	0.206750
58.000167	15913	0.202463	0.204350
59.000005	15874	0.202493	0.206300
60.000056	15968	0.202542	0.201600
61.000296	15880	0.202575	0.206000
62.000046	15965	0.202609	0.201750
63.000053	15923	0.202644	0.203850
64.000032	15888	0.202684	0.205600
65.000066	15853	0.202720	0.207350
66.000125	15937	0.202775	0.203150
67.000079	15897	0.202813	0.205150
68.000035	15931	0.202850	0.203450
69.000948	16016	0.202882	0.199200
70.000152	15910	0.202922	0.204500
71.000619	15948	0.202962	0.202600
72.000113	15901	0.203002	0.204950
73.000045	15941	0.203042	0.202950
74.000477	15925	0.203086	0.203750
75.000174	15987	0.203142	0.200650
76.000016	15953	0.203175	0.202350
77.000106	15814	0.203216	0.209300
78.000018	15931	0.203261	0.203450
79.000290	15844	0.203290	0.207800
80.000285	15834	0.203339	0.208300
81.000055	15896	0.203383	0.205200
82.000003	15984	0.203410	0.200800
83.000109	16040	0.203440	0.198000
84.000018	16004	0.203476	0.199800
85.000312	15980	0.203526	0.201000
86.000226	15948	0.203562	0.202600
87.000050	15990	0.203610	0.200500
88.000269	16010	0.203656	0.199500
89.000021	15965	0.203692	0.201750
90.000220	15961	0.203733	0.201950
91.000340	15907	0.203776	0.204650
92.000121	15948	0.203811	0.202600
93.000149	15863	0.203849	0.206850
94.000012	15849	0.203900	0.207550
95.000095	15880	0.203934	0.206000
96.000117	15922	0.203979	0.203900
97.000095	15955	0.204014	0.202250
98.000019	15959	0.204057	0.202050
99.000148	15970	0.204094	0.201500
100.000124	16012	0.204127	0.199400
101.000013	16086	0.204153	0.195700
102.000132	16053	0.204190	0.197350
103.000205	16030	0.204237	0.198500
104.000172	15943	0.204288	0.202850
105.000069	15888	0.204320	0.205600
106.000233	15813	0.204368	0.209350
107.000007	15806	0.204421	0.209700
108.000064	15845	0.204474	0.207750
109.000162	15928	0.204519	0.203600
110.000020	15933	0.204547	0.203350
111.000313	15935	0.204603	0.203250
112.000190	15869	0.204649	0.206550
113.000020	15912	0.204664	0.204400
114.000031	15920	0.204696	0.204000
115.000187	15884	0.204759	0.205800
116.000140	15889	0.204805	0.205550
117.000061	15841	0.204847	0.207950
118.000020	15770	0.204864	0.211500
119.000020	15835	0.204914	0.208250
120.000032	15747	0.204971	0.212650
121.000026	15845	0.205010	0.207750
122.000227	15846	0.205063	0.207700
123.000041	15860	0.205095	0.207000
124.000211	15832	0.205136	0.208400
125.000004	15771	0.205176	0.211450
126.000029	15895	0.205225	0.205250
127.000059	15878	0.205263	0.206100
128.000050	15885	0.205293	0.205750
129.000062	15859	0.205349	0.207050
130.000319	15804	0.205397	0.209800
131.000153	15785	0.205446	0.210750
132.000045	15851	0.205492	0.207450
133.000053	15869	0.205532	0.206550
134.000226	15923	0.205565	0.203850
135.000025	15947	0.205600	0.202650
136.000078	15818	0.205634	0.209100
137.000283	15890	0.205673	0.205500
138.000053	15972	0.205690	0.201400
139.000024	15908	0.205739	0.204600
140.000101	15897	0.205770	0.205150
141.000036	16039	0.205807	0.198050
142.000135	15856	0.205848	0.207200
143.000142	15814	0.205895	0.209300
144.000245	15781	0.205938	0.210950
145.000079	15822	0.205985	0.208900
146.000183	15861	0.205992	0.206950
147.000070	15925	0.206045	0.203750
148.000337	15869	0.206085	0.206550
149.000379	15900	0.206098	0.205000
150.000085	15866	0.206137	0.206700
151.000089	15805	0.206192	0.209750
152.000014	15859	0.206228	0.207050
153.000107	15975	0.206275	0.201250
154.000201	15904	0.206321	0.204800
155.000055	15921	0.206355	0.203950
156.000146	15874	0.206399	0.206300
157.000046	15945	0.206433	0.202750
158.000038	15887	0.206464	0.205650
159.000060	15868	0.206490	0.206600
160.000003	15889	0.206521	0.205550
161.000010	15942	0.206566	0.202900
162.000215	15851	0.206582	0.207450
163.000089	15698	0.206614	0.215100
164.000095	15767	0.206654	0.211650
165.000042	15805	0.206740	0.209750
166.000058	15860	0.206812	0.207000
167.000072	15860	0.206867	0.207000
168.000018	15796	0.206900	0.210200
169.000134	15795	0.206922	0.210250
170.000179	15802	0.206959	0.209900
171.000077	15786	0.206996	0.210700
172.000073	15744	0.207024	0.212800
173.000214	15700	0.207054	0.215000
174.000150	15810	0.207071	0.209500
175.000063	15827	0.207098	0.208650
176.000159	15909	0.207155	0.204550
177.000013	15960	0.207198	0.202000
178.000320	15871	0.207233	0.206450
179.000427	15805	0.207276	0.209750
180.000030	15834	0.207342	0.208300
181.000097	15892	0.207371	0.205400
182.000007	15762	0.207409	0.211900
183.000123	15827	0.207440	0.208650
184.000015	15821	0.207491	0.208950
185.000085	15890	0.207523	0.205500
186.000396	15865	0.207568	0.206750
187.000126	15868	0.207600	0.206600
188.000089	15928	0.207638	0.203600
189.000170	15854	0.207667	0.207300
190.000017	15785	0.207707	0.210750
191.000011	15800	0.207738	0.210000
192.000013	15845	0.207794	0.207750
193.000301	15891	0.207846	0.205450
194.000028	15861	0.207884	0.206950
195.000035	15808	0.207934	0.209600
196.000163	15784	0.207968	0.210800
197.000217	15807	0.207984	0.209650
198.000095	15833	0.208012	0.208350
199.000159	15813	0.208029	0.209350
200.000026	15873	0.208075	0.206350
201.000006	15852	0.208117	0.207400
202.000092	15811	0.208132	0.209450
203.000352	15864	0.208169	0.206800
204.000190	15870	0.208212	0.206500
205.000082	15856	0.208251	0.207200
206.000118	15813	0.208282	0.209350
207.000282	15830	0.208297	0.208500
208.000056	15777	0.208343	0.211150
209.000073	15812	0.208378	0.209400
210.000114	15816	0.208418	0.209200
211.000070	15782	0.208438	0.210900
212.000233	15832	0.208486	0.208400
