Time	Pop size	Mean_death_rate	Mean_birth_rate
0.000112	5001	0.500000	0.749950
1.000112	6316	0.500137	0.684200
2.000261	7238	0.500256	0.638100
3.000001	8109	0.500362	0.594550
4.000095	8779	0.500478	0.561050
5.000002	9181	0.500597	0.540950
6.000140	9465	0.500702	0.526750
7.000060	9621	0.500798	0.518950
8.000506	9753	0.500894	0.512350
9.000064	9892	0.500999	0.505400
10.000199	9928	0.501097	0.503600
11.000131	9819	0.501203	0.509050
12.000249	9911	0.501317	0.504450
13.000072	9892	0.501426	0.505400
14.000032	9963	0.501519	0.501850
15.000031	9876	0.501595	0.506200
16.000078	10035	0.501700	0.498250
17.000108	10095	0.501810	0.495250
18.000231	10074	0.501903	0.496300
19.000081	10143	0.502020	0.492850
20.000193	10142	0.502133	0.492900
21.000049	9965	0.502241	0.501750
22.000393	9968	0.502342	0.501600
23.000129	10010	0.502437	0.499500
24.000111	10033	0.502525	0.498350
25.000043	10067	0.502605	0.496650
26.000083	10180	0.502668	0.491000
27.000202	10146	0.502737	0.492700
28.000003	10071	0.502850	0.496450
29.000051	10043	0.502940	0.497850
30.000008	9855	0.503048	0.507250
31.000003	9846	0.503140	0.507700
32.000109	9873	0.503252	0.506350
33.000074	9787	0.503364	0.510650
34.000365	9980	0.503489	0.501000
35.000169	9897	0.503597	0.505150
36.000151	9856	0.503721	0.507200
37.000033	9882	0.503831	0.505900
38.000031	9923	0.503940	0.503850
39.000287	9876	0.504082	0.506200
40.000045	9819	0.504155	0.509050
41.000056	9808	0.504246	0.509600
42.000231	9832	0.504347	0.508400
43.000030	9760	0.504438	0.512000
44.000069	9905	0.504550	0.504750
45.000051	9847	0.504670	0.507650
46.000015	9905	0.504825	0.504750
47.000156	9745	0.504909	0.512750
48.000102	9768	0.505014	0.511600
49.000022	9864	0.505070	0.506800
50.000108	9891	0.505152	0.505450
51.000061	9810	0.505226	0.509500
52.000068	9933	0.505352	0.503350
53.000053	9758	0.505448	0.512100
54.000005	9897	0.505533	0.505150
55.000037	10051	0.505628	0.497450
56.000031	10028	0.505736	0.498600
57.000204	9995	0.505810	0.500250
58.000050	10057	0.505877	0.497150
59.000024	10058	0.506003	0.497100
60.000067	9932	0.506106	0.503400
61.000283	9929	0.506182	0.503550
62.000080	9841	0.506273	0.507950
63.000177	9794	0.506375	0.510300
64.000098	9912	0.506480	0.504400
65.000021	9860	0.506597	0.507000
66.000071	9964	0.506695	0.501800
67.000086	10070	0.506807	0.496500
68.000216	10107	0.506913	0.494650
69.000181	9967	0.507000	0.501650
70.000010	9736	0.507185	0.513200
71.000005	9744	0.507296	0.512800
72.000047	9864	0.507419	0.506800
73.000357	9897	0.507535	0.505150
74.000096	9820	0.507651	0.509000
75.000073	9940	0.507724	0.503000
76.000185	9763	0.507803	0.511850
77.000007	9784	0.507875	0.510800
78.000034	9773	0.507973	0.511350
79.000071	9657	0.508133	0.517150
