Time	Pop size	Mean_death_rate	Mean_birth_rate
0.000112	5001	0.500000	0.749950
1.000112	6316	0.500137	0.684200
2.000261	7238	0.500256	0.638100
3.000000	8109	0.500363	0.594550
4.000094	8779	0.500479	0.561050
5.000023	9182	0.500598	0.540900
6.000137	9465	0.500704	0.526750
7.000057	9621	0.500795	0.518950
8.000506	9753	0.500892	0.512350
9.000068	9892	0.500992	0.505400
10.000215	9928	0.501084	0.503600
11.000060	9820	0.501175	0.509000
12.000166	9912	0.501273	0.504400
13.000014	9893	0.501384	0.505350
14.000205	9963	0.501459	0.501850
15.000027	9926	0.501561	0.503700
16.000139	10100	0.501664	0.495000
17.000022	10154	0.501754	0.492300
18.000021	10113	0.501850	0.494350
19.000038	10162	0.501948	0.491900
20.000077	10131	0.502043	0.493450
21.000136	9964	0.502135	0.501800
22.000168	9956	0.502242	0.502200
23.000088	10001	0.502345	0.499950
24.000014	10028	0.502432	0.498600
25.000055	10073	0.502513	0.496350
26.000080	10180	0.502626	0.491000
27.000224	10134	0.502735	0.493300
28.000061	10061	0.502832	0.496950
29.000065	10073	0.502913	0.496350
30.000116	9850	0.503021	0.507500
31.000042	9831	0.503141	0.508450
32.000084	9822	0.503256	0.508900
33.000029	9785	0.503379	0.510750
34.000164	9977	0.503459	0.501150
35.000159	9908	0.503551	0.504600
36.000199	9839	0.503648	0.508050
37.000038	9870	0.503721	0.506500
38.000089	9926	0.503821	0.503700
39.000041	9876	0.503931	0.506200
40.000026	9810	0.504000	0.509500
41.000009	9819	0.504116	0.509050
42.000010	9836	0.504191	0.508200
43.000068	9757	0.504281	0.512150
44.000055	9913	0.504389	0.504350
45.000127	9847	0.504489	0.507650
46.000196	9912	0.504601	0.504400
47.000194	9751	0.504711	0.512450
48.000270	9766	0.504808	0.511700
49.000118	9806	0.504927	0.509700
50.000136	9879	0.505023	0.506050
51.000034	9792	0.505128	0.510400
52.000111	9928	0.505234	0.503600
53.000148	9751	0.505350	0.512450
54.000194	9896	0.505481	0.505200
55.000133	10038	0.505582	0.498100
56.000081	10009	0.505664	0.499550
57.000078	9981	0.505738	0.500950
58.000007	10047	0.505840	0.497650
59.000011	10061	0.505942	0.496950
60.000041	9913	0.506043	0.504350
61.000019	9919	0.506174	0.504050
62.000097	9832	0.506254	0.508400
63.000095	9799	0.506334	0.510050
64.000114	9897	0.506483	0.505150
65.000064	9855	0.506595	0.507250
66.000025	9957	0.506709	0.502150
67.000252	10073	0.506864	0.496350
68.000174	10102	0.506931	0.494900
69.000100	9965	0.507066	0.501750
70.000205	9748	0.507147	0.512600
71.000221	9742	0.507238	0.512900
72.000060	9870	0.507326	0.506500
73.000585	9889	0.507417	0.505550
74.000019	9810	0.507520	0.509500
75.000047	9940	0.507606	0.503000
76.000155	9759	0.507750	0.512050
77.000225	9797	0.507831	0.510150
78.000014	9732	0.507911	0.513400
79.000209	9612	0.508038	0.519400
